CBO,RFC,SLOC,LCOM,DIT,Output
7,23,48,44,0,Balance
1,18,49,40,0,Balance
2,15,16,0,1,Balance
7,16,73,55,0,Balance
2,17,13,0,1,Balance
3,22,8,0,1,Balance
4,15,13,25,0,Balance
3,19,27,0,0,Balance
4,16,14,50,0,Balance
23,21,110,76,0,Accuracy
12,17,19,25,0,Balance
32,23,114,71,1,Balance
0,17,19,50,0,Balance
49,208,944,95,0,Balance
9,22,32,0,2,Balance
44,128,65,0,1,Accuracy
3,33,21,0,0,Balance
6,24,71,53,1,Accuracy
4,18,50,0,0,Balance
1,53,5,0,4,Balance
8,35,9,0,3,Balance
1,18,5,0,2,Balance
4,20,27,66,1,Balance
5,26,18,33,3,Gmean1
37,33,297,72,2,Balance
3,16,15,0,0,Balance
1,32,13,0,4,Balance
3,18,23,40,0,Balance
114,114,464,98,0,precision
5,23,32,60,2,Balance
16,23,120,50,0,Balance
8,40,9,0,5,Balance
6,23,25,60,3,Accuracy
2,15,19,0,0,Balance
103,91,1747,94,1,Accuracy
38,81,297,85,2,Balance
13,75,299,98,0,Balance
12,18,78,0,0,Balance
13,20,79,97,0,Balance
10,20,97,53,0,Balance
11,31,284,78,0,Balance
28,75,78,0,2,Balance
20,24,151,80,0,Accuracy
4,70,12,0,1,Balance
5,16,9,0,1,Balance
5,25,80,68,0,Balance
5,16,25,66,0,Balance
8,26,142,84,0,Balance
22,25,144,95,0,Balance
7,61,43,66,0,Balance
59,57,360,99,0,Balance
3,38,23,0,0,Balance
24,22,311,77,0,Balance
5,16,44,0,0,Balance
4,14,6,0,1,Balance
7,16,95,50,1,Balance
7,15,21,0,1,Balance
0,14,4,0,1,Balance
33,23,181,72,0,Accuracy
2,16,14,33,0,Balance
25,16,165,0,0,Balance
12,78,29,50,2,Fmes
12,17,27,0,0,Balance
9,72,55,0,2,Balance
87,20,663,71,0,Balance
37,19,166,100,0,Accuracy
43,116,799,0,2,Balance
45,89,720,79,2,Balance
2,16,6764,98,0,Accuracy
8,44,290,90,1,Balance
20,32,658,0,0,Balance
8,48,425,91,1,Balance
8,46,361,90,1,Balance
13,28,103,77,0,Balance
29,86,719,87,2,Balance
13,88,654,0,2,Accuracy
24,121,1576,83,2,precision
1,64,6,0,1,Balance
15,76,99,85,2,Balance
16,70,117,0,3,Accuracy
12,77,203,0,2,Balance
21,72,276,0,2,Accuracy
26,17,96,75,0,Balance
23,70,161,81,1,Accuracy
23,77,209,69,2,precision
32,140,1812,93,2,Balance
12,73,172,0,2,Balance
18,96,408,0,3,Balance
26,90,456,0,4,Gmean1
10,71,246,50,2,Accuracy
3,45,13,0,4,Balance
12,46,56,33,4,Balance
11,46,38,33,4,Balance
3,48,9,0,4,Accuracy
20,28,164,93,0,Balance
7,57,52,75,3,Fmes
3,54,15,0,3,Balance
5,71,25,50,5,Balance
6,76,27,80,6,Accuracy
9,60,41,83,4,Balance
10,62,63,81,4,Balance
3,56,10,50,4,precision
15,81,44,80,5,Balance
9,49,48,0,2,Balance
6,57,21,100,4,Balance
4,22,38,62,1,Balance
17,17,320,56,1,Balance
4,14,15,0,0,Balance
5,16,28,0,1,Balance
7,22,54,77,0,Balance
29,31,336,86,1,Gmes
1,14,6,0,1,Balance
3,16,32,0,1,Balance
4,22,9,100,1,Balance
3,15,27,0,0,Balance
9,16,51,0,0,Balance
5,14,23,0,0,Balance
5,29,35,14,1,Balance
15,39,47,0,2,Accuracy
31,70,90,0,2,Accuracy
14,15,98,25,0,Balance
29,21,228,64,0,Balance
4,18,35,60,0,Balance
8,19,38,66,0,Balance
49,193,1215,99,0,Balance
25,34,154,80,1,Accuracy
12,72,34,0,2,Balance
8,21,10,0,2,Balance
35,26,284,81,1,Balance
6,18,21,0,0,Balance
5,20,9,0,2,precision
6,33,47,66,3,Balance
6,19,14,33,1,Balance
1,32,13,0,4,Balance
7,26,37,79,2,Balance
5,25,13,0,3,Balance
3,23,19,19,2,Balance
13,37,26,0,3,Accuracy
5,24,13,0,2,precision
3,16,10,33,0,Balance
4,61,24,65,0,Balance
4,60,18,58,0,Balance
21,54,166,0,0,Fmes
3,17,18,0,0,Balance
12,34,191,86,0,Accuracy
20,73,44,0,2,Balance
0,14,17,0,0,Balance
10,28,110,55,0,Balance
24,87,273,75,3,Balance
1,14,5,0,0,Balance
3,17,17,91,0,Balance
10,17,71,100,0,Balance
7,16,21,33,0,Balance
21,46,396,100,0,Balance
21,19,110,66,0,Fmes
3,15,10,0,0,Balance
2,15,34,0,0,Balance
7,16,35,0,0,Balance
19,32,162,84,0,Balance
41,73,462,99,0,Balance
3,18,24,0,0,Balance
11,15,30,0,0,Balance
35,26,284,81,1,Balance
6,26,10,0,1,Balance
11,17,45,37,0,Balance
3,14,5,0,0,Balance
2,18,18,60,0,Balance
3,15,10,50,0,Balance
49,22,1105,84,0,Balance
14,82,52,38,3,Balance
5,22,12,33,1,Balance
15,102,355,0,2,Balance
9,18,463,65,0,Balance
9,24,30,22,1,Balance
9,81,44,46,3,Accuracy
13,140,28,40,3,Accuracy
7,20,27,71,0,Balance
10,63,30,60,2,Balance
39,173,1446,0,2,Balance
8,44,290,90,1,Gmean1
8,46,361,90,1,Gmean1
15,23,96,0,0,Balance
4,15,16,0,0,Balance
1,19,22,33,0,Balance
27,19,265,83,1,Balance
6,68,24,0,1,Balance
19,75,132,85,2,precision
8,18,86,60,0,Balance
17,70,46,0,2,Balance
16,71,119,68,3,Balance
18,80,315,92,2,precision
10,77,63,70,2,Balance
12,73,102,0,2,Accuracy
5,15,12,0,0,Balance
16,45,92,78,3,Balance
3,51,9,0,5,Balance
13,17,73,0,0,Fmes
6,61,37,0,5,Balance
6,61,41,0,5,Balance
14,62,64,65,5,Gmean1
6,63,23,70,5,Accuracy
6,63,23,70,5,Accuracy
7,59,30,80,4,Balance
6,61,35,85,4,Balance
10,62,47,87,4,Balance
8,77,24,83,6,Balance
21,76,168,84,4,Balance
7,59,29,80,4,Balance
10,17,30,0,0,Balance
19,64,236,89,2,Balance
45,44,217,0,0,Balance
3,58,6,0,1,Balance
18,77,279,30,2,Balance
5,14,15,0,0,Balance
27,20,153,71,0,Balance
17,20,140,61,1,Balance
16,23,82,78,0,precision
3,15,10,0,0,Balance
8,14,32,0,0,Balance
1,14,16,0,0,Balance
4,31,100,77,0,Balance
6,19,37,50,1,Balance
8,18,55,72,0,Balance
3,42,53,100,1,Balance
3,17,35,25,0,Balance
25,19,191,77,0,precision
16,15,18,0,0,Balance
13,14,50,0,0,Balance
1,50,6,100,0,Balance
14,27,106,85,0,precision
14,34,65,65,1,Fmes
9,17,89,0,0,Balance
23,29,174,81,0,Gmean1
6,25,18,33,2,Balance
5,24,13,0,2,Balance
5,17,19,50,0,Balance
8,35,9,0,3,Accuracy
9,38,14,0,4,Accuracy
12,37,24,0,3,Balance
9,25,25,33,2,Balance
5,28,18,33,3,Balance
1,53,13,0,0,Balance
7,26,30,72,1,Balance
4,22,18,50,2,Balance
35,51,163,0,1,Balance
34,68,202,0,1,Accuracy
17,28,143,87,1,Balance
15,20,201,80,0,Balance
49,63,1190,96,0,Balance
8,16,15,66,0,Balance
4,16,58,33,1,Balance
12,72,167,0,2,Balance
2,20,5,0,1,Balance
4,60,15,50,0,Balance
10,44,134,0,1,Balance
1,16,16,33,0,Balance
6,18,51,62,0,Balance
1,21,34,0,0,Balance
5,24,45,40,1,Balance
5,25,68,27,1,Balance
5,28,120,60,0,Balance
5,21,42,50,0,Balance
12,77,52,0,3,Accuracy
13,18,72,73,0,Balance
3,14,19,0,0,Balance
6,17,77,75,0,Balance
6,15,35,0,0,Balance
50,37,391,85,0,Balance
3,17,25,0,0,Balance
3,16,22,33,0,Balance
29,57,264,98,0,Balance
5,15,13,0,0,Balance
13,28,387,26,0,Balance
13,41,283,64,0,Balance
4,18,22,0,0,Balance
28,112,464,100,2,Balance
18,73,68,0,2,Balance
14,139,35,75,3,Balance
8,52,565,91,1,Balance
12,52,588,91,1,Accuracy
11,55,646,92,1,Balance
2,16,2781,97,0,Accuracy
8,46,361,90,1,Balance
53,33,403,95,2,Accuracy
23,81,536,88,2,Balance
16,79,513,77,2,Balance
6,74,135,0,2,Balance
14,75,112,85,2,Fmes
21,88,330,0,2,Accuracy
24,73,141,75,2,Balance
6,78,236,0,2,Balance
8,68,52,0,2,Balance
17,79,214,75,2,Balance
20,109,1142,0,2,Accuracy
11,68,30,0,2,Balance
1,17,34,16,0,Balance
19,70,103,73,3,Fmes
8,71,9,0,3,Balance
17,70,85,22,2,Balance
3,14,7,0,0,Balance
9,70,110,0,2,Balance
13,39,18,0,1,Balance
42,34,319,75,1,Balance
45,41,110,70,1,Balance
7,46,65,58,3,Balance
8,40,62,16,1,Balance
8,61,40,0,4,Accuracy
10,63,64,50,5,Balance
13,90,49,0,6,Accuracy
15,64,78,90,4,Balance
8,77,27,83,6,Accuracy
8,83,34,0,5,Accuracy
3,56,10,50,4,Accuracy
9,77,43,83,6,Fmes
15,71,107,85,5,Balance
9,60,44,83,4,Balance
9,77,27,83,6,Accuracy
13,81,87,90,6,Balance
13,65,73,69,4,Balance
6,61,35,85,4,Balance
23,55,200,74,2,Balance
5,61,30,0,4,Accuracy
8,26,80,55,1,Balance
3,39,18,0,3,Balance
8,18,449,64,0,Balance
6,20,152,67,0,Balance
10,18,144,66,1,Accuracy
10,16,111,0,0,Balance
2,15,37,0,0,Balance
4,20,14,33,2,Balance
3,26,62,30,1,Balance
7,16,31,33,0,Balance
4,15,15,0,0,Balance
9,18,32,46,0,Balance
6,20,14,0,1,Balance
5,29,32,14,1,Balance
64,44,489,89,1,Balance
15,19,119,64,0,Balance
5,20,42,57,0,Balance
8,20,71,76,0,Balance
9,18,25,0,1,Balance
6,22,27,0,1,Balance
17,29,62,66,1,Accuracy
0,13,29,0,0,Balance
7,72,47,0,2,Balance
12,70,15,0,2,Balance
14,25,12,0,4,Balance
7,27,15,0,1,Balance
35,26,227,89,0,Balance
8,25,16,0,2,Balance
12,25,114,82,0,Balance
7,22,35,40,1,Balance
4,21,32,71,1,Balance
8,40,9,0,5,Balance
5,26,18,33,3,precision
1,32,13,0,4,Balance
0,18,33,60,0,Balance
5,25,13,0,3,Balance
