CBO,SLOC,LCOM,DIT,Output
22,29,0,1,Balance
4,50,73,0,Balance
25,217,73,0,Balance
16,72,0,1,Balance
21,144,80,0,Balance
22,94,16,0,Balance
41,204,78,0,Balance
7,48,40,0,Gmean1
18,36,0,0,Balance
7,26,0,0,Balance
10,21,0,0,Balance
10,25,33,1,Gmean1
7,20,0,0,Balance
14,56,60,1,Balance
140,1776,95,0,Balance
14,20,0,0,Balance
33,396,78,0,Balance
19,157,33,0,Balance
5,26,0,0,Balance
9,31,0,0,Balance
102,974,91,0,Balance
10,17,0,0,Balance
44,268,85,0,Balance
14,91,86,1,Fmes
13,66,41,0,Balance
3,15,50,0,Balance
39,138,80,0,Balance
15,116,60,0,Fmes
5,10,0,0,Balance
10,44,33,0,Balance
2,13,0,0,Balance
2,11,25,0,Balance
12,83,54,0,Balance
22,48,87,0,Balance
12,18,50,0,Balance
18,86,41,0,Balance
21,98,44,0,Balance
8,13,0,0,Balance
19,234,44,0,Fmes
8,9,0,0,Balance
6,13,50,0,Balance
4,29,53,0,Balance
8,37,40,0,Gmean1
4,16,25,0,Balance
4,25,0,0,Balance
14,33,0,0,Balance
31,126,72,0,Balance
13,90,80,0,Balance
19,336,85,0,Balance
13,47,0,0,Balance
15,97,80,0,Balance
38,579,88,0,Balance
13,123,56,0,Fmes
22,396,73,1,Balance
8,17,0,1,Balance
23,210,77,1,Balance
9,39,60,0,Balance
3,24,0,0,Balance
5,26,25,0,Balance
12,38,0,0,Balance
8,32,9,0,Balance
2,21,0,0,Balance
8,52,25,0,Balance
7,12,0,0,Balance
7,8,0,0,Balance
12,32,0,0,Balance
6,19,0,0,Balance
2,15,0,0,Balance
13,45,60,0,Balance
34,943,86,0,Gmes
4,20,0,0,Balance
3,12,0,1,Balance
4,23,0,0,Balance
5,20,50,0,Balance
1,11,0,0,Balance
4,9,0,0,Balance
6,143,88,0,Balance
12,42,95,0,Balance
10,79,51,0,Balance
8,658,93,0,Gmean1
4,169,55,0,Balance
4,21,0,0,Balance
11,25,0,0,Balance
1,19,50,0,Balance
