CBO,NOC,SLOC,RFC,WMC,Output
7,0,103,27,14,Gmean1
13,0,327,140,28,Gmean1
21,0,179,19,6,Gmean1
7,0,123,23,10,Gmean1
9,0,62,16,3,Gmean1
44,0,797,563,30,Gmean1
0,0,2,51,1,Gmean1
1,0,5,45,1,Gmean1
16,0,129,20,7,Gmean1
1,0,5,45,1,Gmean1
0,0,5,45,1,Gmean1
21,0,269,120,13,Gmean1
61,0,3015,135,14,Gmean1
20,0,584,43,30,Gmean1
27,1,1274,80,67,Gmean1
5,0,49,15,2,Gmean1
6,0,58,24,11,Gmean1
12,0,29,36,3,Balance
7,0,23,29,4,Gmean1
5,3,39,50,6,Gmean1
0,0,10,47,1,Gmean1
5,2,109,25,12,Gmean1
32,0,349,39,26,Gmean1
6,1,108,64,17,Gmean1
2,0,26,14,1,Gmean1
12,0,330,38,25,Gmean1
2,0,14,14,1,Gmean1
2,0,42,54,7,Gmean1
5,0,35,22,9,Gmean1
5,0,28,22,9,Gmean1
6,0,118,58,11,Gmean1
7,0,113,59,12,Gmean1
2,0,23,25,2,Gmean1
2,0,28,26,3,Gmean1
6,0,195,26,13,Gmean1
28,0,267,32,19,Precision
1,0,93,24,11,Gmean1
4,0,18,19,6,Gmean1
22,0,122,17,4,Gmean1
22,0,642,45,32,Gmean1
13,0,219,23,10,Balance
35,0,300,104,33,Gmean1
9,0,25,99,3,Gmean1
8,0,40,18,5,Gmean1
32,0,1096,37,24,Gmean1
10,2,142,82,27,Gmean1
5,0,73,117,3,Gmean1
3,0,23,133,3,Gmean1
3,0,10,88,2,Gmean1
8,0,133,21,8,Gmean1
59,0,1164,26,13,Gmean1
32,0,225,39,26,Gmean1
34,0,262,100,16,Gmean1
68,2,1954,222,166,Gmean1
19,1,340,56,43,Gmean1
6,0,33,26,3,Gmean1
10,0,44,27,4,Balance
11,0,159,15,2,Gmean1
7,0,35,27,4,Gmean1
34,0,612,68,33,Gmean1
10,0,154,40,27,Precision
15,0,185,133,21,Precision
23,0,386,48,35,Gmean1
0,0,54,23,10,Gmean1
15,0,238,21,8,Gmean1
0,0,61,17,4,Gmean1
21,0,349,57,27,Precision
3,8,23,48,4,Gmean1
3,0,14,19,6,Gmean1
0,0,2,44,0,Gmean1
16,0,70,70,8,Gmean1
7,0,91,23,10,Gmes
1,0,16,100,4,Gmean1
1,3,14,54,4,Gmean1
11,0,96,14,1,Gmean1
8,0,47,17,4,Gmean1
52,1,1871,54,34,Gmean1
17,0,483,117,10,Gmean1
13,0,86,130,23,Gmean1
33,1,1582,121,14,Gmean1
16,0,137,31,18,Precision
9,0,193,30,17,Precision
52,0,749,268,123,Balance
19,0,399,36,23,Gmean1
33,0,549,41,28,Gmean1
13,1,42,32,4,Gmes
1,0,9,14,1,Gmean1
2,0,113,21,8,Gmean1
2,0,36,19,6,Gmean1
10,0,142,50,22,Gmean1
4,0,68,32,9,Gmean1
5,0,35,22,9,Gmean1
3,0,129,76,17,Gmean1
10,1,157,48,25,Precision
5,0,28,22,9,Gmean1
6,0,120,58,11,Gmean1
2,0,114,80,16,Gmean1
7,0,135,61,14,Accuracy
19,0,281,24,11,Gmes
11,0,37,14,1,Gmean1
7,0,247,56,9,Gmes
20,0,493,64,51,Gmean1
49,1,981,230,15,Balance
1,0,33,18,5,Gmean1
45,2,1114,85,72,Gmean1
11,0,108,28,15,Gmean1
22,2,357,52,39,Gmean1
11,0,62,19,6,Gmes
28,4,428,71,58,Gmean1
13,0,93,20,7,Gmean1
16,0,224,32,19,Precision
6,0,106,77,22,Gmes
12,0,73,19,6,Gmes
11,0,320,25,12,Gmean1
40,0,591,83,30,Precision
23,0,137,77,5,Gmean1
14,0,91,62,9,Gmean1
2,0,8,25,2,Gmean1
23,0,796,25,12,Gmes
23,0,442,32,19,Precision
9,0,768,41,28,Precision
13,0,116,30,3,Gmes
11,0,80,23,10,Gmes
25,1,414,56,43,Precision
19,2,524,146,34,Gmean1
31,0,1406,181,55,Gmean1
15,0,133,32,19,Precision
6,0,20,14,1,Gmean1
6,0,20,15,2,Gmean1
15,6,120,30,17,Gmean1
26,0,244,31,18,Gmean1
23,0,239,75,40,Gmean1
3,0,34,14,1,Gmean1
38,0,539,73,60,Gmean1
10,1,246,20,7,Gmean1
25,0,666,118,11,Gmean1
25,0,175,62,29,Gmean1
18,0,217,42,29,Gmean1
14,0,132,35,22,Precision
10,2,141,24,11,Gmean1
10,0,24,21,3,Gmean1
19,0,306,40,27,Gmean1
5,0,25,21,8,Gmean1
5,0,28,22,9,Gmean1
5,0,25,21,8,Gmean1
5,0,274,21,8,Gmean1
10,0,117,22,9,Gmes
5,0,56,16,3,Gmean1
5,0,28,22,9,Gmean1
11,0,140,24,11,Gmean1
10,0,430,34,21,Gmean1
4,0,9,46,2,Gmean1
16,0,78,92,7,Gmean1
8,0,117,25,12,Gmean1
25,0,738,79,27,Gmean1
4,0,36,40,7,Gmean1
13,0,87,24,11,Gmes
21,0,259,31,18,Precision
3,0,51,29,16,Gmes
1,0,11,17,4,Gmean1
2,0,31,19,6,Gmean1
53,0,1001,93,80,Gmean1
17,3,171,80,32,Gmean1
23,0,175,126,34,Precision
3,0,8,564,0,Gmean1
13,0,72,17,4,Balance
7,1,60,28,15,Gmes
53,2,1079,94,81,Precision
26,0,306,24,11,Precision
7,0,64,17,4,Gmean1
0,0,1,44,0,Gmean1
56,1,1194,72,19,Balance
4,0,20,25,2,Gmean1
8,0,45,26,3,Gmean1
12,0,166,25,5,Gmes
12,0,269,37,17,Precision
1,0,11,14,1,Gmean1
29,0,260,20,7,Accuracy
11,0,105,31,11,Gmes
1,0,4,14,1,Gmean1
13,0,180,45,32,Gmean1
21,0,385,175,29,Gmean1
9,0,151,36,23,Precision
14,0,342,20,7,Gmean1
33,0,228,759,9,Gmean1
0,0,45,26,13,Gmean1
6,0,156,24,11,Gmean1
7,0,64,36,6,Gmean1
13,0,240,523,17,Balance
6,0,68,46,5,Gmean1
3,0,20,18,5,Gmean1
1,0,8,56,2,Gmean1
22,0,266,32,19,Gmean1
9,0,263,99,42,Gmes
6,2,26,25,6,Gmean1
14,1,89,29,4,Gmes
23,0,1050,203,190,Gmean1
18,0,73,236,11,Gmes
6,0,86,22,9,Gmean1
3,0,43,31,8,Gmean1
6,0,112,58,11,Gmean1
5,0,25,21,8,Gmean1
21,0,243,27,14,Gmean1
1,0,14,14,1,Gmean1
12,0,185,35,22,Precision
7,2,169,56,43,Gmes
9,0,149,76,20,Gmes
18,1,442,102,46,Gmean1
12,0,68,72,9,Gmes
37,0,620,43,30,Gmean1
85,0,1698,92,79,Gmean1
6,0,73,22,9,Gmean1
1,0,86,28,15,Gmean1
33,0,494,54,41,Gmean1
1,1,36,16,3,Gmean1
13,0,29,15,2,Gmean1
4,0,39,16,3,Gmean1
6,0,86,17,4,Gmean1
36,5,492,84,31,Gmean1
31,1,281,253,31,Gmean1
43,0,903,44,31,Gmean1
3,0,9,15,2,Gmean1
11,0,175,25,12,Gmean1
3,0,16,87,1,Gmean1
9,0,177,23,3,Gmean1
26,0,653,35,15,Gmes
13,0,355,35,15,Gmes
7,0,156,32,12,Gmean1
11,0,116,25,5,Gmean1
13,0,343,41,21,Precision
13,0,207,21,8,Gmean1
39,3,534,35,22,Gmean1
7,0,36,22,9,Gmean1
12,0,103,133,21,Precision
14,0,287,25,12,Gmean1
15,0,97,19,6,Gmean1
8,0,50,19,6,Gmean1
13,0,265,529,23,Gmean1
15,0,102,44,14,Gmes
8,0,47,38,8,Gmean1
12,0,65,16,3,Gmean1
10,0,90,37,7,Gmean1
21,0,413,38,25,Precision
0,0,8,14,1,Gmean1
8,2,83,30,17,Gmean1
1,0,14,47,3,Gmean1
3,0,15,51,3,Gmean1
3,0,15,51,3,Gmean1
2,0,13,51,3,Gmean1
3,0,19,51,3,Gmean1
11,0,47,20,7,Gmean1
10,0,61,16,3,Gmean1
1,0,8,56,2,Gmean1
11,0,65,116,9,Gmean1
2,0,83,25,12,Gmean1
4,0,77,63,14,Gmean1
8,0,343,37,24,Fmes
22,0,355,35,22,Gmean1
8,2,41,30,7,Gmean1
14,0,101,16,3,Gmean1
2,0,8,34,2,Gmean1
70,1,1567,225,212,Gmean1
69,0,996,75,62,Gmean1
8,0,173,33,20,Gmean1
5,0,982,94,81,Balance
6,1,128,59,12,Gmean1
9,1,126,23,10,Gmean1
3,0,202,44,19,Gmean1
2,0,23,18,5,Gmean1
4,0,396,53,40,Balance
6,0,115,57,10,Gmean1
5,0,25,21,8,Gmean1
5,0,30,22,9,Gmean1
5,0,25,21,8,Gmean1
19,0,227,27,14,Gmes
13,0,70,14,1,Gmean1
16,0,75,42,8,Gmean1
18,0,372,21,8,Gmean1
17,0,172,28,15,Gmean1
15,0,184,43,30,Balance
16,0,391,137,35,Gmean1
12,0,151,34,21,Gmean1
27,2,246,96,25,Gmean1
22,0,121,95,24,Gmean1
31,0,280,110,25,Gmean1
61,0,1836,156,80,Gmean1
18,0,700,47,34,Gmean1
22,0,84,39,3,Gmean1
29,1,236,44,31,Gmean1
5,0,64,53,10,Gmean1
0,0,1,44,0,Gmean1
1,0,9,46,2,Gmean1
43,0,440,41,28,Gmes
28,0,235,96,12,Gmean1
36,0,538,62,9,Gmean1
2,0,15,14,1,Gmean1
3,0,33,90,4,Gmean1
12,0,96,25,5,Gmean1
23,0,113,30,10,Gmean1
27,0,351,21,8,Gmean1
5,0,16,16,3,Gmean1
2,0,10,14,1,Gmean1
9,0,36,13,0,Gmean1
8,0,52,23,10,Gmean1
25,0,1223,183,57,Gmean1
1,0,8,46,2,Gmean1
107,0,2041,615,58,Gmean1
2,0,12,16,3,Gmean1
13,0,151,36,17,Gmean1
3,0,24,52,4,Gmean1
3,0,15,51,3,Gmean1
