CBO,WMC,LCOM,SLOC,Output
7,2,0,42,Gmean1
8,10,95,94,Gmean1
15,9,81,99,Gmean1
18,20,88,236,Gmean1
9,3,66,63,Gmean1
29,31,93,325,Gmean1
10,4,100,41,Accuracy
0,0,0,3,Precision
6,5,66,23,Gmean1
4,2,0,18,Gmean1
6,1,0,7,Gmean1
3,2,0,9,Gmean1
1,1,0,6,Gmean1
15,8,0,96,Gmean1
27,14,78,247,Gmean1
4,3,0,14,Gmean1
1,3,0,12,Accuracy
4,8,72,34,Gmean1
2,4,50,16,Gmean1
6,2,75,15,Gmean1
3,4,100,22,Gmean1
9,15,82,151,Gmean1
21,56,96,522,Gmean1
19,15,84,151,Gmean1
6,11,86,76,Gmean1
8,4,0,75,Gmean1
1,2,100,12,Gmean1
0,0,0,3,Gmean1
3,5,100,20,Gmean1
7,5,54,41,Gmean1
15,4,75,49,Gmean1
8,2,50,36,Gmean1
7,3,66,35,Gmean1
11,1,100,29,Precision
6,2,66,14,Gmean1
10,1,33,23,Gmean1
19,3,50,58,Gmean1
5,1,100,14,Balance
4,1,100,9,Gmean1
15,16,83,133,Gmean1
0,0,0,4,Gmean1
5,1,0,12,Gmean1
11,5,80,58,Gmean1
20,18,81,243,Gmean1
7,1,0,53,Gmean1
14,19,89,199,Gmean1
12,12,86,133,Gmean1
4,2,0,11,Precision
10,11,70,113,Gmean1
24,36,91,313,Gmean1
4,2,0,20,Gmean1
2,2,0,10,Gmean1
0,1,0,5,Gmean1
1,1,0,5,Gmean1
1,1,0,6,Gmean1
10,8,62,76,Gmean1
57,58,95,1137,Gmean1
3,9,77,37,Gmean1
1,5,50,18,Gmean1
28,17,86,427,Gmean1
15,25,96,215,Gmean1
5,1,0,13,Gmean1
3,2,0,10,Precision
7,6,41,40,Gmean1
13,57,96,334,Gmean1
20,23,94,239,Gmean1
30,75,98,754,Gmean1
1,2,0,9,Gmean1
23,18,87,232,Gmean1
4,2,100,14,Balance
7,5,70,36,Gmean1
0,0,0,3,Gmean1
18,8,66,63,Gmean1
0,0,0,3,Gmean1
9,5,100,77,Gmean1
30,4,57,66,Gmean1
5,2,100,16,Gmean1
3,1,66,10,Gmean1
6,7,88,50,Gmean1
6,1,75,32,Gmean1
2,0,0,4,Accuracy
10,18,92,311,Gmean1
5,8,79,76,Gmean1
14,1,50,25,Gmean1
10,4,100,30,Gmean1
6,4,0,95,Gmean1
23,37,94,405,Gmean1
5,9,83,41,Gmean1
7,1,0,25,Gmean1
5,12,75,125,Gmean1
3,2,0,9,Precision
4,3,0,20,Gmean1
11,5,0,80,Gmean1
6,1,0,17,Gmean1
20,14,92,259,Gmean1
5,5,19,20,Gmean1
4,4,0,17,Gmean1
3,1,33,11,Gmean1
16,13,0,100,Gmean1
7,1,0,25,Gmean1
2,1,0,5,Accuracy
18,5,0,103,Gmean1
19,16,80,171,Gmean1
25,17,82,281,Gmean1
5,1,0,12,Gmean1
1,0,0,3,Gmean1
2,2,0,8,Accuracy
