CBO,NOC,WMC,RFC,SLOC,DIT,LCOM,ALTER
0,0,0,0,3,1,0,yes
5,0,6,17,182,2,62,yes
2,0,7,7,41,1,42,yes
0,0,3,3,14,2,66,no
1,0,6,6,96,1,86,no
1,0,2,2,49,2,92,no
4,1,11,11,136,1,85,no
2,0,19,19,118,2,76,yes
3,2,1,14,36,3,0,yes
1,0,1,1,18,1,0,no
1,0,3,3,17,2,0,no
1,0,3,3,17,2,0,no
2,0,59,59,242,2,47,no
2,0,6,6,39,2,0,no
0,0,2,2,17,1,0,no
0,0,2,2,9,2,100,no
4,0,13,13,222,1,84,yes
1,0,4,4,29,1,0,yes
0,0,12,12,134,1,81,no
2,0,5,33,28,2,19,no
1,0,20,20,174,1,76,no
0,0,21,21,112,1,85,yes
2,1,28,28,162,1,80,no
0,0,14,14,78,1,85,yes
1,3,2,23,11,3,100,yes
8,0,15,38,126,4,82,yes
