Name,CBO,NOC,WMC,RFC,SLOC,LCOM,DIT,change
net.sf.jabref.exporter.layout.format.LastPage,2,0,1,14,16,0,0,no
net.sf.jabref.exporter.layout.format.NameFormatter,6,0,4,17,70,75,0,yes
net.sf.jabref.exporter.layout.format.NoSpaceBetweenAbbreviations,2,0,1,14,6,0,0,no
net.sf.jabref.exporter.layout.format.NoSpaceBetweenAbbreviationsTest,2,0,1,14,11,0,0,no
net.sf.jabref.exporter.layout.format.NotFoundFormatter,3,0,3,16,13,0,0,no
net.sf.jabref.exporter.layout.format.Number,3,0,2,15,9,0,0,no
net.sf.jabref.exporter.layout.format.RemoveBrackets,3,0,1,14,13,0,0,no
net.sf.jabref.exporter.layout.format.RemoveBracketsAddComma,3,0,1,14,14,0,0,yes
net.sf.jabref.exporter.layout.format.RemoveLatexCommands,6,0,1,14,59,0,0,yes
net.sf.jabref.exporter.layout.format.RemoveTilde,3,0,1,14,19,0,0,yes
net.sf.jabref.exporter.layout.format.RemoveTildeTest,2,0,2,15,18,0,0,no
net.sf.jabref.exporter.layout.format.RemoveWhitespace,4,0,1,14,12,0,0,no
net.sf.jabref.exporter.layout.format.Replace,2,0,2,16,22,0,1,no
net.sf.jabref.exporter.layout.format.RisAuthors,5,0,2,15,24,0,0,no
net.sf.jabref.exporter.layout.format.RisKeywords,6,0,1,14,18,0,0,no
net.sf.jabref.exporter.layout.format.RisMonth,4,0,1,14,14,0,0,no
net.sf.jabref.exporter.layout.format.RtfCharMap,0,0,1,83,226,0,0,no
net.sf.jabref.exporter.layout.format.RTFChars,10,0,2,15,140,50,0,yes
net.sf.jabref.exporter.layout.format.ToLowerCase,2,0,1,14,6,0,0,yes
net.sf.jabref.exporter.layout.format.ToUpperCase,2,0,1,14,6,0,0,yes
net.sf.jabref.exporter.layout.format.WrapContent,2,0,2,16,24,0,1,no
net.sf.jabref.exporter.layout.format.WrapFileLinks,18,0,4,18,161,68,1,yes
net.sf.jabref.exporter.layout.format.WrapFileLinks.FormatEntry,2,0,4,17,17,37,0,no
net.sf.jabref.exporter.layout.format.XMLChars,7,0,3,16,61,66,0,yes
net.sf.jabref.exporter.layout.format.XmlCharsMap,0,0,1,83,111,0,0,no
net.sf.jabref.exporter.layout.HTMLCharsTest,2,0,2,15,26,0,0,no
net.sf.jabref.exporter.layout.LatexFieldFormatterTests,5,0,7,20,56,14,0,no
net.sf.jabref.exporter.layout.Layout,14,0,6,19,111,61,0,yes
net.sf.jabref.exporter.layout.LayoutEntry,31,0,10,23,310,71,0,yes
net.sf.jabref.exporter.layout.LayoutEntryTest,11,0,7,20,80,14,0,no
net.sf.jabref.exporter.layout.LayoutHelper,13,0,12,25,267,81,0,yes
net.sf.jabref.exporter.layout.LayoutTest,14,0,8,21,64,0,0,no
net.sf.jabref.exporter.layout.RTFCharsTest,2,0,4,17,66,0,0,no
net.sf.jabref.exporter.layout.StringInt,1,0,1,14,8,0,0,yes
net.sf.jabref.exporter.layout.WSITools,4,0,4,17,45,75,0,yes
net.sf.jabref.exporter.ModsExportFormat,22,0,2,27,29,0,1,no
net.sf.jabref.exporter.MSBibExportFormat,22,0,2,27,29,0,1,no
net.sf.jabref.exporter.MySQLExport,10,0,2,27,11,0,1,no
net.sf.jabref.exporter.OOCalcDatabase,21,0,4,17,162,62,0,no
net.sf.jabref.exporter.OpenDocumentRepresentation,21,0,4,17,167,58,0,no
net.sf.jabref.exporter.OpenDocumentSpreadsheetCreator,33,0,7,32,81,0,1,no
net.sf.jabref.exporter.OpenOfficeDocumentCreator,32,0,7,32,69,0,1,no
net.sf.jabref.exporter.PostgreSQLExport,10,0,2,27,13,0,1,no
net.sf.jabref.exporter.RtfSelection,8,0,4,17,36,41,0,yes
net.sf.jabref.exporter.SaveAllAction,12,0,3,39,34,22,1,no
net.sf.jabref.exporter.SaveDatabaseAction,38,0,10,28,275,60,1,yes
net.sf.jabref.exporter.SaveException,4,0,9,53,50,73,0,no
net.sf.jabref.exporter.SaveSession,16,0,9,22,97,76,0,yes
net.sf.jabref.exporter.VerifyingWriter,9,0,4,43,31,50,0,yes
net.sf.jabref.external.AttachFileAction,10,0,2,15,32,0,0,no
net.sf.jabref.external.DownloadExternalFile,25,0,8,21,217,73,0,yes
net.sf.jabref.external.DroppedFileHandler,41,0,11,24,365,65,0,yes
net.sf.jabref.external.ExternalFileMenuItem,18,0,4,846,71,45,0,no
net.sf.jabref.external.ExternalFilePanel,24,0,11,710,289,77,0,yes
net.sf.jabref.external.ExternalFileType,7,1,22,35,117,72,0,yes
net.sf.jabref.external.ExternalFileTypeEditor,35,0,8,758,276,83,0,yes
net.sf.jabref.external.ExternalFileTypeEditor.AddListener,9,0,1,14,10,0,0,no
net.sf.jabref.external.ExternalFileTypeEditor.EditExternalFileTypesAction,9,0,3,39,31,44,1,yes
net.sf.jabref.external.ExternalFileTypeEditor.EditListener,7,0,1,14,12,0,0,no
net.sf.jabref.external.ExternalFileTypeEditor.FileTypeTableModel,8,0,5,35,48,0,0,no
net.sf.jabref.external.ExternalFileTypeEditor.IconRenderer,5,0,1,14,9,0,0,yes
net.sf.jabref.external.ExternalFileTypeEditor.RemoveListener,7,0,1,14,16,0,0,no
net.sf.jabref.external.ExternalFileTypeEditor.TableClickListener,4,0,4,26,18,0,0,no
net.sf.jabref.external.ExternalFileTypeEntryEditor,25,0,8,21,199,73,0,yes
net.sf.jabref.external.ExternalFileTypeEntryEditor.BrowseListener,11,0,2,15,20,0,0,yes
net.sf.jabref.external.FindFullText,14,0,3,16,30,33,0,yes
net.sf.jabref.external.FindFullTextAction,13,0,4,22,54,33,1,yes
net.sf.jabref.external.FindFullTextTest,7,0,3,16,17,0,0,no
net.sf.jabref.external.MoveFileAction,26,0,2,35,141,0,0,yes
net.sf.jabref.external.push.AbstractPushToApplication,18,7,12,25,98,82,0,yes
net.sf.jabref.external.push.PushToApplicationAction,12,0,4,37,62,43,0,yes
net.sf.jabref.external.push.PushToApplicationButton,40,0,8,21,216,77,0,yes
net.sf.jabref.external.push.PushToApplicationButton.BooleanHolder,0,0,1,14,6,0,0,yes
net.sf.jabref.external.push.PushToApplicationButton.MenuAction,9,0,4,40,14,0,1,no
net.sf.jabref.external.push.PushToApplicationButton.MenuButtonActionListener,5,0,1,14,8,0,0,no
net.sf.jabref.external.push.PushToApplicationButton.PopupItemActionListener,4,0,2,15,10,0,0,no
net.sf.jabref.external.push.PushToApplicationButton.PushButtonMouseListener,6,0,4,26,25,0,0,no
net.sf.jabref.external.push.PushToApplications,10,0,0,13,14,0,0,yes
net.sf.jabref.external.push.PushToEmacs,25,0,9,34,117,77,1,no
net.sf.jabref.external.push.PushToLatexEditor,6,0,5,30,22,0,1,no
net.sf.jabref.external.push.PushToLyx,16,0,6,31,72,0,1,no
net.sf.jabref.external.push.PushToTexmaker,5,0,4,29,18,0,1,no
net.sf.jabref.external.push.PushToTeXstudio,5,0,4,29,18,0,1,no
net.sf.jabref.external.push.PushToVim,22,0,8,33,97,81,1,no
net.sf.jabref.external.push.PushToWinEdt,5,0,4,29,18,0,1,no
net.sf.jabref.external.RegExpFileSearch,21,0,5,18,144,80,0,yes
net.sf.jabref.external.RegExpFileSearchTests,12,0,3,16,24,66,0,no
net.sf.jabref.external.SynchronizeFileField,36,0,4,22,272,43,1,yes
net.sf.jabref.external.SynchronizeFileField.OptionsDialog,22,0,3,753,91,44,0,yes
net.sf.jabref.external.TransferableFileLinkSelection,17,0,4,17,30,50,0,no
net.sf.jabref.external.UnknownExternalFileType,2,0,1,36,5,0,1,no
net.sf.jabref.external.WriteXMPAction,22,0,4,22,182,31,1,yes
