Name,CBO,NOC,WMC,RFC,SLOC,DIT,LCOM,change
org.apache.hama.monitor.TestFederator,9,0,3,16,54,1,44,no
org.apache.hama.monitor.ZKCollector,16,0,4,17,86,0,62,no
org.apache.hama.util.BSPNetUtils,12,0,6,19,66,0,66,no
org.apache.hama.util.Bytes,25,0,67,80,613,0,97,no
org.apache.hama.util.ClusterUtil,14,0,3,16,50,0,66,no
org.apache.hama.util.KeyValuePair,0,0,7,20,27,0,42,no
org.apache.hama.util.StringArrayWritable,5,0,5,18,26,0,19,no
org.apache.hama.util.TestNumeric,1,0,1,14,7,1,50,no
org.apache.hama.util.TestRandomVariable,3,0,3,16,26,1,50,no
org.apache.hama.util.TestZKUtil,7,0,3,16,42,1,73,no
org.apache.hama.util.TestZKUtil.MockZK,9,0,2,15,20,1,0,no
org.apache.hama.util.ZKUtil,7,0,1,14,37,0,0,no
org.apache.hama.zookeeper.QuorumPeer,25,0,10,23,267,0,84,no
org.apache.hama.zookeeper.QuorumPeer.ShutdownableZooKeeperServerMain,1,0,2,15,9,1,0,no
org.apache.hama.zookeeper.QuorumPeer.ZookeeperTuple,1,0,1,14,10,0,0,no
org.apache.hama.zookeeper.TestZKTools,3,0,1,14,8,1,0,no
org.apache.hama.zookeeper.ZKServerTool,8,0,1,14,15,0,0,no
org.apache.hama.ZooKeeperRunner,6,0,2,15,12,1,100,no
org.apache.hama.bsp.BSP,4,9,3,16,10,0,0,yes
org.apache.hama.bsp.BSPJob,30,2,50,76,233,1,90,yes
org.apache.hama.bsp.BSPJobClient.NetworkedJob,13,0,17,30,85,0,68,yes
org.apache.hama.bsp.BSPJobClient.RawSplit,5,0,11,24,53,0,61,yes
org.apache.hama.bsp.BSPJobContext,6,2,13,26,64,0,82,yes
org.apache.hama.bsp.BSPMaster,57,0,57,70,675,0,94,yes
org.apache.hama.bsp.BSPMaster.Instructor,12,0,3,89,28,0,33,yes
org.apache.hama.bsp.BSPMaster.ReportGroomStatusHandler,23,0,1,14,65,0,0,yes
org.apache.hama.bsp.BSPMessageBundle,13,0,5,18,68,0,60,yes
org.apache.hama.bsp.BSPPeerImpl,44,0,36,49,350,0,89,yes
org.apache.hama.bsp.BSPTask.PingGroomServer,10,0,2,15,31,0,0,yes
org.apache.hama.bsp.CombineFileInputFormat,18,0,12,44,339,1,80,yes
org.apache.hama.bsp.CombineFileInputFormat.OneFileInfo,9,0,1,14,46,0,0,yes
org.apache.hama.bsp.CombineFileSplit,8,0,17,30,128,0,72,yes
org.apache.hama.bsp.Counters.Group,16,0,16,29,122,0,71,yes
org.apache.hama.bsp.Directive,6,2,6,19,41,0,33,yes
org.apache.hama.bsp.FileInputFormat,21,3,19,32,385,0,92,yes
org.apache.hama.bsp.FileInputFormat.MultiPathFilter,2,0,2,15,14,0,0,yes
org.apache.hama.bsp.FileOutputFormat,9,2,12,25,87,0,0,yes
org.apache.hama.bsp.GroomServer,62,0,39,52,898,0,92,yes
org.apache.hama.bsp.GroomServer.BSPPeerChild,20,0,1,14,50,0,0,yes
org.apache.hama.bsp.GroomServer.BSPTasksMonitor,9,0,2,88,27,0,0,yes
org.apache.hama.bsp.GroomServer.DispatchTasksHandler,19,0,1,14,37,0,0,yes
org.apache.hama.bsp.GroomServer.TaskInProgress,16,0,16,29,115,0,80,yes
org.apache.hama.bsp.GroomServerAction,11,5,5,18,50,0,19,yes
org.apache.hama.bsp.GroomServerStatus,12,0,17,30,125,0,75,yes
org.apache.hama.bsp.JobInProgress,35,0,28,41,329,0,87,yes
org.apache.hama.bsp.JobInProgress.KillInterruptedException,1,0,1,47,6,0,100,yes
org.apache.hama.bsp.JobInProgressListener,2,1,2,15,4,0,0,yes
org.apache.hama.bsp.JobStatus,12,0,35,48,208,0,91,yes
org.apache.hama.bsp.KillJobAction,5,0,5,23,22,1,0,yes
org.apache.hama.bsp.LocalBSPRunner,37,0,14,27,370,0,90,yes
org.apache.hama.bsp.LocalBSPRunner.BSPRunner,16,0,3,16,64,0,33,yes
