name,CBO,NOC,WMC,RFC,SLOC,DIT,LCOM,Change
maven-artifact-src-main-java-org-apache-maven-artifact-resolver-AbstractArtifactResolutionException-AbstractArtifactResolutionException.java,9,3,18,62,262,0,87,no
maven-artifact-src-main-java-org-apache-maven-artifact-resolver-ArtifactNotFoundException-ArtifactNotFoundException.java,4,0,6,68,46,1,50,no
maven-artifact-src-main-java-org-apache-maven-artifact-resolver-ArtifactResolutionException-ArtifactResolutionException.java,4,3,6,68,33,1,0,no
maven-compat-src-test-java-org-apache-maven-artifact-resolver-ArtifactResolutionExceptionTest-ArtifactResolutionExceptionTest.java,5,0,1,14,32,1,0,yes
maven-core-src-main-java-org-apache-maven-artifact-resolver-ArtifactResolutionRequest-ArtifactResolutionRequest.java,11,0,35,48,195,0,93,yes
maven-core-src-main-java-org-apache-maven-artifact-resolver-ArtifactResolutionResult-ArtifactResolutionResult.java,13,0,33,46,208,0,89,yes
maven-compat-src-test-java-org-apache-maven-artifact-resolver-ArtifactResolverTest-ArtifactResolverTest.java,20,0,12,50,178,2,45,yes
maven-artifact-src-main-java-org-apache-maven-artifact-resolver-CyclicDependencyException-CyclicDependencyException.java,2,0,2,70,15,2,0,no
maven-compat-src-main-java-org-apache-maven-artifact-resolver-DebugResolutionListener-DebugResolutionListener.java,5,0,15,28,103,0,42,yes
maven-compat-src-main-java-org-apache-maven-artifact-resolver-DefaultArtifactCollector-DefaultArtifactCollector.java,0,0,0,25,5,1,0,no
maven-compat-src-main-java-org-apache-maven-artifact-resolver-DefaultArtifactResolver-DefaultArtifactResolver.java,55,1,18,31,451,0,91,yes
maven-compat-src-main-java-org-apache-maven-artifact-resolver-DefaultArtifactResolver-DaemonThreadCreator.java,5,0,1,14,13,0,33,no
maven-compat-src-main-java-org-apache-maven-artifact-resolver-DefaultArtifactResolver-ResolveTask.java,9,0,2,15,47,0,0,yes
maven-compat-src-test-java-org-apache-maven-artifact-resolver-DefaultArtifactResolverTest-DefaultArtifactResolverTest.java,11,0,5,43,66,2,50,no
maven-core-src-main-java-org-apache-maven-artifact-resolver-DefaultResolutionErrorHandler-DefaultResolutionErrorHandler.java,7,0,2,15,39,0,0,yes
maven-core-src-main-java-org-apache-maven-artifact-resolver-filter-AbstractScopeArtifactFilter-AbstractScopeArtifactFilter.java,2,2,2,15,71,0,0,no
maven-core-src-main-java-org-apache-maven-artifact-resolver-filter-AndArtifactFilter-AndArtifactFilter.java,7,0,7,20,55,0,0,yes
