Name,CBO,NOC,WMC,RFC,DIT,LCOM,SLOC,change
org.apache.click.examples.page.form.dynamic.DynamicForm,8,0,2,63,2,50,36,yes
org.apache.click.examples.page.form.dynamic.DynamicSelect,11,0,2,63,2,50,44,yes
org.apache.click.examples.page.form.dynamic.PopulateOnSelect,17,0,6,67,2,75,124,yes
org.apache.click.examples.page.form.ExtraControlsForm,30,0,4,65,2,57,66,no
org.apache.click.examples.page.form.ExtraControlsForm.Options,0,0,0,13,0,0,5,yes
org.apache.click.examples.page.form.FormLayout,14,0,1,62,2,33,28,yes
org.apache.click.examples.page.form.FormProperties,23,0,6,67,2,54,220,no
org.apache.click.examples.page.form.FormProperties.Options,2,0,0,13,0,0,18,no
org.apache.click.examples.page.form.FormProperties.Values,1,0,0,13,0,0,6,yes
org.apache.click.examples.page.form.MultipleFormsDemo,7,0,5,66,2,60,43,yes
org.apache.click.examples.page.form.SearchForm,13,0,2,63,2,40,49,yes
org.apache.click.examples.page.form.StandardControlsForm,34,0,5,66,2,68,86,no
org.apache.click.examples.page.form.StandardControlsForm.Options,0,0,0,13,0,0,5,yes
org.apache.click.examples.page.form.TabbedFormDemo,25,0,4,65,2,53,75,yes
org.apache.click.examples.page.general.ControlHeadDemo,3,0,1,62,2,100,45,yes
org.apache.click.examples.page.general.ControlHeadDemo.StarRating,7,0,3,118,2,66,35,yes
org.apache.click.examples.page.general.DirectPage,11,0,1,58,1,100,29,no
org.apache.click.examples.page.general.ExcelExportPage,18,0,3,64,2,83,103,yes
org.apache.click.examples.page.general.ExcelTableExportPage,18,0,4,65,2,60,71,yes
org.apache.click.examples.page.general.ExceptionPage,6,0,6,67,2,95,45,yes
org.apache.click.examples.page.general.ExceptionPage.BrokenRenderer,2,0,1,14,0,0,7,yes
org.apache.click.examples.page.general.FlashPage,8,0,3,64,2,33,26,yes
org.apache.click.examples.page.general.NavigationA,6,1,6,67,2,86,46,yes
org.apache.click.examples.page.general.NavigationB,2,0,1,68,3,100,7,no
org.apache.click.examples.page.general.PageHeadDemo,15,0,2,63,2,33,28,yes
org.apache.click.examples.page.general.PageImportsExample,5,0,2,63,2,100,16,yes
org.apache.click.examples.page.HomePage,1,0,1,62,2,100,6,no
org.apache.click.examples.page.introduction.AdvancedForm,18,0,4,65,2,70,46,yes
org.apache.click.examples.page.introduction.AdvancedTable,12,0,4,65,2,70,50,yes
org.apache.click.examples.page.introduction.ControlListenerType1Page,3,0,1,62,2,66,10,yes
org.apache.click.examples.page.introduction.ControlListenerType2Page,4,0,1,62,2,66,15,yes
org.apache.click.examples.page.introduction.HelloWorld,1,0,1,62,2,50,7,no
org.apache.click.examples.page.introduction.SimpleForm,5,0,2,63,2,50,16,yes
org.apache.click.examples.page.introduction.SimpleTablePage,6,0,2,63,2,50,20,no
org.apache.click.examples.page.jsp.CustomerTable,6,0,2,63,2,66,14,yes
org.apache.click.examples.page.jsp.EditCustomerPage,11,0,5,66,2,60,32,yes
org.apache.click.examples.page.jsp.HelloWorld,2,0,0,57,1,0,4,yes
org.apache.click.examples.page.jsp.MultiPathDemo,6,0,2,63,2,100,13,yes
org.apache.click.examples.page.jsp.NavigationA,6,1,7,68,2,88,50,yes
org.apache.click.examples.page.jsp.NavigationB,2,0,2,70,3,100,11,no
org.apache.click.examples.page.pageflow.LastPage,10,0,1,62,2,33,23,no
org.apache.click.examples.page.pageflow.NextPage,16,0,5,66,2,66,47,yes
org.apache.click.examples.page.pageflow.StartPage,25,0,7,68,2,67,90,yes
org.apache.click.examples.page.panel.FilterPanelDemo,6,0,1,62,2,75,32,yes
org.apache.click.examples.page.panel.ListPanelDemo,8,0,2,63,2,62,16,yes
org.apache.click.examples.page.panel.PanelColumn,5,0,2,71,1,50,14,yes
org.apache.click.examples.page.panel.PanelColumnDemo,14,0,4,65,2,64,38,yes
org.apache.click.examples.page.panel.ReusablePanelDemo,2,0,1,62,2,50,9,no
org.apache.click.examples.page.panel.SimplePanelDemo,2,0,0,61,2,0,4,yes
org.apache.click.examples.page.panel.TabbedPanelDemo,10,0,3,64,2,75,27,yes
org.apache.click.examples.page.quartz.QuartzJobAndTriggerPage,20,0,5,66,2,54,133,no
org.apache.click.examples.page.quartz.QuartzJobSchedulerPage,17,0,5,66,2,80,200,yes
org.apache.click.examples.page.security.Login,19,0,3,64,2,50,58,yes
org.apache.click.examples.page.security.Logout,4,0,1,62,2,50,12,yes
org.apache.click.examples.page.security.Secure,5,0,1,62,2,100,14,yes
org.apache.click.examples.page.SourceViewer,10,0,18,79,2,92,311,no
