Name,CBO,NOC,WMC,RFC,SLOC,DIT,LCOM,change
org.apache.zookeeper.inspector.gui.ZooInspectorConnectionPropertiesDialog,22,0,3,753,250,0,0,no
org.apache.zookeeper.inspector.gui.ZooInspectorNodeViewersDialog,26,0,2,752,506,0,33,yes
org.apache.zookeeper.inspector.gui.ZooInspectorNodeViewersPanel,13,0,5,704,72,0,52,no
org.apache.zookeeper.inspector.gui.ZooInspectorPanel,24,0,6,705,274,0,81,yes
org.apache.zookeeper.inspector.gui.ZooInspectorTreeViewer,23,0,5,704,217,0,53,yes
org.apache.zookeeper.inspector.gui.ZooInspectorTreeViewer.ZooInspectorTreeCellRenderer,1,0,1,772,7,0,0,yes
org.apache.zookeeper.inspector.gui.ZooInspectorTreeViewer.ZooInspectorTreeNode,9,0,12,25,92,0,58,yes
org.apache.zookeeper.inspector.logger.LoggerFactory,0,0,1,14,8,0,0,no
org.apache.zookeeper.inspector.manager.Pair,2,0,9,22,55,0,33,no
org.apache.zookeeper.inspector.manager.ZooInspectorManagerImpl,38,0,27,40,592,0,90,yes
org.apache.zookeeper.inspector.manager.ZooInspectorManagerImpl.NodeWatcher,11,0,3,16,37,0,33,no
org.apache.zookeeper.inspector.ZooInspector,10,0,1,14,27,0,0,yes
org.apache.zookeeper.JaasConfiguration,6,0,4,30,21,0,50,no
org.apache.zookeeper.jmx.CommonNames,1,0,0,13,5,0,0,no
org.apache.zookeeper.jmx.ManagedUtil,6,0,1,14,20,0,0,no
org.apache.zookeeper.jmx.MBeanRegistry,15,0,12,25,126,0,71,yes
org.apache.zookeeper.JUnit4ZKTestRunner,3,0,2,15,45,1,100,yes
org.apache.zookeeper.JUnit4ZKTestRunner.LoggedInvokeMethod,7,0,2,15,35,1,0,yes
org.apache.zookeeper.KeeperException,29,21,14,58,360,0,69,yes
org.apache.zookeeper.KeeperException.APIErrorException,1,0,1,59,4,1,0,no
org.apache.zookeeper.KeeperException.AuthFailedException,1,0,1,59,4,1,0,no
org.apache.zookeeper.KeeperException.BadArgumentsException,2,0,2,60,7,1,0,no
org.apache.zookeeper.KeeperException.BadVersionException,2,0,2,60,7,1,0,no
org.apache.zookeeper.KeeperException.ConnectionLossException,1,0,1,59,4,1,0,no
org.apache.zookeeper.KeeperException.DataInconsistencyException,1,0,1,59,4,1,0,no
org.apache.zookeeper.KeeperException.InvalidACLException,2,0,2,60,7,1,0,no
org.apache.zookeeper.KeeperException.InvalidCallbackException,1,0,1,59,4,1,0,no
org.apache.zookeeper.KeeperException.MarshallingErrorException,1,0,1,59,4,1,0,no
org.apache.zookeeper.KeeperException.NoAuthException,1,0,1,59,4,1,0,no
org.apache.zookeeper.KeeperException.NoChildrenForEphemeralsException,2,0,2,60,7,1,0,no
org.apache.zookeeper.KeeperException.NodeExistsException,2,0,2,60,7,1,0,no
org.apache.zookeeper.KeeperException.NoNodeException,2,0,2,60,7,1,0,no
org.apache.zookeeper.KeeperException.NotEmptyException,2,0,2,60,7,1,0,no
org.apache.zookeeper.KeeperException.NotReadOnlyException,1,0,1,59,4,1,0,no
org.apache.zookeeper.KeeperException.OperationTimeoutException,1,0,1,59,4,1,0,no
org.apache.zookeeper.KeeperException.RuntimeInconsistencyException,1,0,1,59,4,1,0,no
org.apache.zookeeper.KeeperException.SessionExpiredException,1,0,1,59,4,1,0,no
org.apache.zookeeper.KeeperException.SessionMovedException,1,0,1,59,4,1,0,no
