Name,CBO,NOC,WMC,RFC,SLOC,DIT,LCOM,change
org.apache.gora.mapreduce.GoraRecordWriter,10,0,3,16,36,1,33,no
org.apache.gora.mapreduce.GoraReducer,3,2,3,16,30,1,0,no
org.apache.gora.mapreduce.MapReduceTestUtils,15,0,3,16,49,0,66,no
org.apache.gora.mapreduce.NullOutputCommitter,2,0,6,19,21,1,0,no
org.apache.gora.mapreduce.PersistentDeserializer,8,0,4,17,27,0,56,no
org.apache.gora.mapreduce.PersistentSerialization,5,0,3,16,15,0,0,no
org.apache.gora.mapreduce.PersistentSerializer,4,0,4,17,20,0,37,no
org.apache.gora.mapreduce.StringComparator,2,0,2,15,10,0,0,no
org.apache.gora.mapreduce.StringSerialization,3,0,3,16,42,0,0,no
org.apache.gora.mapreduce.TestGoraInputFormat,15,0,3,16,30,0,0,no
org.apache.gora.mapreduce.TestGoraInputSplit,7,0,3,16,31,0,33,no
org.apache.gora.mapreduce.TestPersistentSerialization,20,0,5,18,52,0,0,no
org.apache.gora.memory.store.MemStore,16,0,14,48,127,1,57,no
org.apache.gora.memory.store.MemStore.MemQuery,1,0,2,48,8,1,0,no
org.apache.gora.memory.store.MemStore.MemResult,8,0,5,33,25,1,60,yes
org.apache.gora.mock.persistency.MockPersistent,4,0,10,38,49,2,84,yes
org.apache.gora.mock.query.MockQuery,1,0,2,48,8,1,0,no
org.apache.gora.mock.store.MockDataStore,15,0,20,54,85,1,95,no
org.apache.gora.persistency.impl.BeanFactoryImpl,7,0,8,21,49,0,72,no
org.apache.gora.persistency.impl.DirtyCollectionWrapper,4,2,20,33,102,0,30,no
org.apache.gora.persistency.impl.DirtyFlag,1,0,5,18,20,0,0,no
org.apache.gora.persistency.impl.DirtyIteratorWrapper,2,0,4,17,21,0,25,no
org.apache.gora.persistency.impl.DirtyListIterator,2,0,10,23,46,0,30,no
org.apache.gora.persistency.impl.DirtyListWrapper,4,0,13,46,61,1,0,no
org.apache.gora.persistency.impl.DirtyMapWrapper,8,0,20,33,150,0,42,no
org.apache.gora.persistency.impl.DirtyMapWrapper.DirtyEntryWrapper,3,0,8,21,38,0,31,no
org.apache.gora.persistency.impl.DirtySetWrapper,1,0,1,34,6,1,0,no
org.apache.gora.persistency.impl.PersistentBase,8,53,15,28,153,1,0,yes
org.apache.gora.persistency.impl.PersistentBase.PersistentData,0,0,2,15,15,1,50,yes
org.apache.gora.persistency.impl.TestPersistentBase,16,0,6,19,64,0,0,no
org.apache.gora.persistency.Tombstones,3,0,4,17,160,0,75,no
org.apache.gora.persistency.Tombstones.ListTombstone,4,0,26,39,90,0,3,no
org.apache.gora.persistency.Tombstones.MapTombstone,4,0,15,28,54,0,6,no
org.apache.gora.persistency.ws.impl.BeanFactoryWSImpl,11,0,8,21,63,0,68,no
org.apache.gora.persistency.ws.impl.PersistentWSBase,9,0,15,28,75,0,83,no
org.apache.gora.query.impl.FileSplitPartitionQuery,5,0,8,76,42,2,12,no
org.apache.gora.query.impl.PartitionQueryImpl,12,1,22,68,110,1,45,no
org.apache.gora.query.impl.QueryBase,14,9,33,46,226,0,80,no
org.apache.gora.query.impl.ResultBase,8,8,15,28,93,0,81,no
org.apache.gora.query.impl.TestPartitionQueryImpl,7,0,1,14,12,0,0,no
org.apache.gora.query.impl.TestQueryBase,7,0,3,16,24,0,53,no
org.apache.gora.query.ws.impl.PartitionWSQueryImpl,6,0,22,62,101,1,59,no
org.apache.gora.query.ws.impl.QueryWSBase,6,2,27,40,152,0,85,no
org.apache.gora.query.ws.impl.ResultWSBase,7,1,13,26,74,0,80,no
org.apache.gora.solr.GoraSolrTestDriver,8,0,6,28,45,1,66,no
org.apache.gora.solr.query.SolrQuery,4,0,3,49,34,1,0,no
org.apache.gora.solr.query.SolrResult,13,0,4,32,62,1,37,no
org.apache.gora.solr.store.SolrMapping,2,0,7,20,26,0,66,no
org.apache.gora.solr.store.SolrStore,37,0,27,61,504,1,90,yes
org.apache.gora.solr.store.TestSolrStore,10,0,3,62,22,1,0,no
org.apache.gora.sql.GoraSqlTestDriver,14,0,7,29,65,1,84,yes
org.apache.gora.sql.query.SqlQuery,1,0,2,48,8,1,0,no
org.apache.gora.sql.query.SqlResult,9,0,4,32,34,1,37,no
org.apache.gora.sql.statement.Delete,4,0,5,18,31,0,40,no
org.apache.gora.sql.statement.HSqlInsertUpdateStatement,16,0,3,19,86,1,0,no
org.apache.gora.sql.statement.InsertStatement,8,0,9,22,53,0,44,no
org.apache.gora.sql.statement.InsertUpdateStatement,11,2,3,16,26,0,66,no
org.apache.gora.sql.statement.InsertUpdateStatement.ColumnData,1,0,1,14,10,0,0,no
org.apache.gora.sql.statement.InsertUpdateStatementFactory,7,0,1,14,15,0,0,no
org.apache.gora.sql.statement.MySqlInsertUpdateStatement,16,0,2,18,59,1,0,no
org.apache.gora.sql.statement.SelectStatement,6,0,31,44,145,0,85,no
org.apache.gora.sql.statement.Where,3,0,10,23,37,0,50,no
org.apache.gora.sql.store.Column,3,0,21,34,85,0,84,no
org.apache.gora.sql.store.SqlMapping,4,0,10,23,37,0,66,no
org.apache.gora.sql.store.SqlStore,19,0,33,67,134,1,99,no
org.apache.gora.sql.store.SqlTypeInterface,25,0,4,17,174,0,0,no
org.apache.gora.sql.store.TestSqlStore,13,0,24,83,69,1,0,no
org.apache.gora.sql.util.SqlUtils,3,0,2,15,16,0,0,no
org.apache.gora.store.DataStoreFactory,17,0,26,39,219,0,95,yes
org.apache.gora.store.DataStoreTestBase,10,5,46,59,241,0,65,no
org.apache.gora.store.DataStoreTestUtil,35,0,54,67,834,0,94,no
org.apache.gora.store.impl.DataStoreBase,24,8,21,34,171,0,88,no
org.apache.gora.store.impl.FileBackedDataStoreBase,22,1,24,58,180,1,79,no
org.apache.gora.store.TestDataStoreFactory,9,0,7,20,59,0,14,yes
org.apache.gora.store.ws.impl.WSBackedDataStoreBase,9,0,10,38,45,1,0,no
org.apache.gora.store.ws.impl.WSDataStoreBase,8,2,15,28,73,0,88,no
org.apache.gora.store.ws.impl.WSDataStoreFactory,18,0,26,39,216,0,95,no
org.apache.gora.store.WSDataStoreTestBase,7,1,43,56,188,0,85,no
org.apache.gora.tutorial.log.generated.MetricDatum,7,1,18,46,218,2,85,yes
org.apache.gora.tutorial.log.generated.MetricDatum.Builder,6,0,16,29,93,1,76,yes
org.apache.gora.tutorial.log.generated.MetricDatum.Tombstone,3,0,10,56,30,3,0,no
org.apache.gora.tutorial.log.generated.Pageview,8,1,33,61,442,2,90,yes
org.apache.gora.tutorial.log.generated.Pageview.Builder,7,0,36,49,207,1,87,yes
org.apache.gora.tutorial.log.generated.Pageview.Tombstone,4,0,25,86,75,3,0,no
org.apache.gora.tutorial.log.KeyValueWritable,4,1,11,24,71,0,27,no
org.apache.gora.tutorial.log.LogAnalytics,17,0,3,16,93,1,66,no
org.apache.gora.tutorial.log.LogAnalytics.LogAnalyticsMapper,9,0,3,21,23,2,50,no
org.apache.gora.tutorial.log.LogAnalytics.LogAnalyticsReducer,10,0,1,17,19,2,0,no
org.apache.gora.tutorial.log.LogManager,21,0,14,27,148,0,75,no
org.apache.gora.tutorial.log.TextLong,0,0,1,25,6,1,0,no
org.apache.gora.util.AvroUtils,16,0,7,20,62,0,0,yes
org.apache.gora.util.ByteUtils,20,0,43,56,354,0,97,no
org.apache.gora.util.ClassLoadingUtils,5,0,4,17,30,0,0,no
org.apache.gora.util.GoraException,1,0,4,52,15,0,100,no
org.apache.gora.util.IOUtils,21,0,26,42,308,0,94,no
org.apache.gora.util.NodeWalker,4,0,4,17,33,0,41,no
org.apache.gora.util.Null,0,0,2,15,8,0,50,no
org.apache.gora.util.OperationNotSupportedException,1,0,4,53,15,0,100,no
org.apache.gora.util.ReflectionUtils,15,0,6,19,51,0,83,yes
org.apache.gora.util.StringUtils,11,0,11,24,70,0,0,no
org.apache.gora.util.TestIOUtils,15,0,9,22,163,0,88,no
org.apache.gora.util.TestIOUtils.BoolArrayWrapper,7,0,5,18,21,0,19,no
org.apache.gora.util.TestIOUtils.StringArrayWrapper,8,0,5,18,20,0,19,yes
org.apache.gora.util.TestWritableUtils,10,0,1,14,15,0,0,no
org.apache.gora.util.TimingUtil,3,0,1,14,23,0,0,no
org.apache.gora.util.VersionInfo,6,0,9,22,41,0,61,no
org.apache.gora.util.WritableUtils,7,0,3,16,24,0,0,no
