classname,CBO,NOC,WMC,RFC,SLOC,DIT,LCOM,change
jEdit-org-gjt-sp-jedit-bsh-BSHBlock-BSHBlock.java,9,0,4,35,78,1,50,no
jEdit-org-gjt-sp-jedit-bsh-BSHCastExpression-BSHCastExpression.java,8,0,2,33,18,1,0,no
jEdit-org-gjt-sp-jedit-bsh-BSHClassDeclaration-BSHClassDeclaration.java,11,0,3,34,45,1,66,no
jEdit-org-gjt-sp-jedit-bsh-BshClassManager-BshClassManager.java,27,1,32,45,290,0,91,no
jEdit-org-gjt-sp-jedit-bsh-BshClassManager-SignatureKey.java,2,0,3,16,48,0,16,no
jEdit-org-gjt-sp-jedit-bsh-BSHEnhancedForStatement-BSHEnhancedForStatement.java,14,0,2,33,77,1,50,no
jEdit-org-gjt-sp-jedit-bsh-BSHFormalComment-BSHFormalComment.java,1,0,1,32,7,1,100,no
jEdit-org-gjt-sp-jedit-bsh-BSHFormalParameter-BSHFormalParameter.java,6,0,3,34,25,1,77,no
jEdit-org-gjt-sp-jedit-bsh-BSHFormalParameters-BSHFormalParameters.java,6,0,5,36,56,1,65,no
jEdit-org-gjt-sp-jedit-bsh-BSHForStatement-BSHForStatement.java,8,0,2,33,67,1,56,no
jEdit-org-gjt-sp-jedit-bsh-BSHIfStatement-BSHIfStatement.java,6,0,3,34,37,1,0,no
jEdit-org-gjt-sp-jedit-bsh-BSHImportDeclaration-BSHImportDeclaration.java,9,0,2,33,41,1,50,no
jEdit-org-gjt-sp-jedit-bsh-BSHLiteral-BSHLiteral.java,9,0,5,36,80,1,40,no
jEdit-org-gjt-sp-jedit-bsh-BshMethod-BshMethod.java,26,1,14,27,219,0,81,no
jEdit-org-gjt-sp-jedit-bsh-BSHMethodDeclaration-BSHMethodDeclaration.java,14,0,8,39,94,1,73,no
jEdit-org-gjt-sp-jedit-bsh-BSHMethodInvocation-BSHMethodInvocation.java,14,0,4,35,42,1,0,no
jEdit-org-gjt-sp-jedit-bsh-BSHPackageDeclaration-BSHPackageDeclaration.java,6,0,2,33,15,1,0,no
jEdit-org-gjt-sp-jedit-bsh-BSHPrimaryExpression-BSHPrimaryExpression.java,7,0,4,35,53,1,0,no
jEdit-org-gjt-sp-jedit-bsh-BSHPrimarySuffix-BSHPrimarySuffix.java,22,0,6,37,182,1,85,no
jEdit-org-gjt-sp-jedit-bsh-BSHPrimitiveType-BSHPrimitiveType.java,1,0,2,33,6,1,50,no
jEdit-org-gjt-sp-jedit-bsh-BSHReturnStatement-BSHReturnStatement.java,5,0,2,33,15,1,50,no
jEdit-org-gjt-sp-jedit-bsh-BSHReturnType-BSHReturnType.java,7,0,4,35,25,1,50,no
jEdit-org-gjt-sp-jedit-bsh-BSHStatementExpressionList-BSHStatementExpressionList.java,4,0,2,33,15,1,0,no
jEdit-org-gjt-sp-jedit-bsh-BSHSwitchLabel-BSHSwitchLabel.java,3,0,2,33,12,1,50,no
jEdit-org-gjt-sp-jedit-bsh-BSHSwitchStatement-BSHSwitchStatement.java,8,0,3,34,75,1,0,no
jEdit-org-gjt-sp-jedit-bsh-BSHTernaryExpression-BSHTernaryExpression.java,4,0,2,33,15,1,0,no
jEdit-org-gjt-sp-jedit-bsh-BSHThrowStatement-BSHThrowStatement.java,5,0,2,33,13,1,0,no
jEdit-org-gjt-sp-jedit-bsh-BSHTryStatement-BSHTryStatement.java,17,0,2,33,94,1,0,no
