Kind,Name,CBO,NOC,SLOC,LCOM,DIT,RFC,WMC,CHANGE
Public Class,net.sourceforge.subsonic.controller.StreamControllerTestCase,3,0,71,0,1,16,3,no
Public Class,net.sourceforge.subsonic.controller.TopController,9,0,20,33,1,16,3,yes
Public Class,net.sourceforge.subsonic.controller.TranscodingSettingsController,9,0,87,50,1,19,6,no
Public Class,net.sourceforge.subsonic.controller.UploadController,24,0,159,69,1,19,6,no
Private Class,net.sourceforge.subsonic.controller.UploadController.UploadListenerImpl,12,0,31,37,0,17,4,no
Public Class,net.sourceforge.subsonic.controller.UserChartController,10,0,71,62,1,20,4,no
Public Class,net.sourceforge.subsonic.controller.UserSettingsController,18,0,121,57,1,24,11,no
Public Class,net.sourceforge.subsonic.controller.VideoPlayerController,14,0,64,72,1,19,6,yes
Public Class,net.sourceforge.subsonic.controller.WapController,26,0,150,78,1,30,17,no
Public Class,net.sourceforge.subsonic.dao.AbstractDao,12,15,112,88,0,31,18,no
Public Class,net.sourceforge.subsonic.dao.AlbumDao,8,0,207,32,1,48,17,yes
Private Static Class,net.sourceforge.subsonic.dao.AlbumDao.AlbumMapper,3,0,20,0,0,14,1,no
Public Class,net.sourceforge.subsonic.dao.ArtistDao,9,0,109,69,1,43,12,yes
Private Static Class,net.sourceforge.subsonic.dao.ArtistDao.ArtistMapper,3,0,10,0,0,14,1,yes
Public Class,net.sourceforge.subsonic.dao.AvatarDao,4,0,30,12,1,35,4,no
Private Static Class,net.sourceforge.subsonic.dao.AvatarDao.AvatarRowMapper,3,0,5,0,0,14,1,no
Public Class,net.sourceforge.subsonic.dao.BookmarkDao,4,0,32,37,1,35,4,no
Private Static Class,net.sourceforge.subsonic.dao.BookmarkDao.BookmarkRowMapper,3,0,5,0,0,14,1,no
Public Abstract Class,net.sourceforge.subsonic.dao.DaoTestCaseBase,15,6,57,77,1,18,5,yes
Public Class,net.sourceforge.subsonic.dao.InternetRadioDao,7,0,28,58,1,35,4,no
Private Static Class,net.sourceforge.subsonic.dao.InternetRadioDao.InternetRadioRowMapper,3,0,4,0,0,14,1,no
Public Class,net.sourceforge.subsonic.dao.InternetRadioDaoTestCase,5,0,41,0,2,23,5,no
Public Class,net.sourceforge.subsonic.dao.MediaFileDao,11,0,402,78,1,63,32,yes
Private Static Class,net.sourceforge.subsonic.dao.MediaFileDao.GenreMapper,3,0,4,0,0,14,1,no
Private Static Class,net.sourceforge.subsonic.dao.MediaFileDao.MediaFileMapper,3,0,34,0,0,14,1,no
Private Static Class,net.sourceforge.subsonic.dao.MediaFileDao.MusicFileInfoMapper,3,0,8,0,0,14,1,no
Public Class,net.sourceforge.subsonic.dao.MusicFolderDao,8,0,42,61,1,37,6,no
Private Static Class,net.sourceforge.subsonic.dao.MusicFolderDao.MusicFolderRowMapper,4,0,4,0,0,14,1,no
Public Class,net.sourceforge.subsonic.dao.MusicFolderDaoTestCase,7,0,40,0,2,23,5,no
Public Class,net.sourceforge.subsonic.dao.PlayerDao,13,0,96,65,1,39,8,no
Private Class,net.sourceforge.subsonic.dao.PlayerDao.PlayerRowMapper,7,0,19,0,0,14,1,no
Public Class,net.sourceforge.subsonic.dao.PlayerDaoTestCase,9,0,118,0,2,27,9,no
Public Class,net.sourceforge.subsonic.dao.PlaylistDao,13,0,86,72,1,42,11,no
Private Static Class,net.sourceforge.subsonic.dao.PlaylistDao.PlaylistMapper,3,0,14,0,0,14,1,no
Public Class,net.sourceforge.subsonic.dao.PlayQueueDao,5,0,35,25,1,33,2,no
Private Static Class,net.sourceforge.subsonic.dao.PlayQueueDao.PlayQueueMapper,3,0,10,0,0,14,1,no
Public Class,net.sourceforge.subsonic.dao.PodcastDao,7,0,66,77,1,40,9,yes
Private Static Class,net.sourceforge.subsonic.dao.PodcastDao.PodcastChannelRowMapper,5,0,5,0,0,14,1,yes
Private Static Class,net.sourceforge.subsonic.dao.PodcastDao.PodcastEpisodeRowMapper,6,0,6,0,0,14,1,no
Public Class,net.sourceforge.subsonic.dao.PodcastDaoTestCase,8,0,159,0,2,32,14,yes
Public Class,net.sourceforge.subsonic.dao.RatingDao,8,0,58,0,1,36,5,no
Public Abstract Class,net.sourceforge.subsonic.dao.schema.Schema,2,23,27,0,0,17,4,no
Public Class,net.sourceforge.subsonic.dao.ShareDao,6,0,52,66,1,39,8,yes
Private Static Class,net.sourceforge.subsonic.dao.ShareDao.ShareFileRowMapper,3,0,4,0,0,14,1,no
Private Static Class,net.sourceforge.subsonic.dao.ShareDao.ShareRowMapper,3,0,5,0,0,14,1,no
Public Class,net.sourceforge.subsonic.dao.TranscodingDao,7,0,49,61,1,37,6,no
Private Static Class,net.sourceforge.subsonic.dao.TranscodingDao.TranscodingRowMapper,3,0,5,0,0,14,1,no
Public Class,net.sourceforge.subsonic.dao.TranscodingDaoTestCase,7,0,95,0,2,26,8,no
Public Class,net.sourceforge.subsonic.dao.UserDao,15,0,243,84,1,44,13,yes
Private Class,net.sourceforge.subsonic.dao.UserDao.UserRowMapper,4,0,7,0,0,14,1,no
Private Static Class,net.sourceforge.subsonic.dao.UserDao.UserSettingsRowMapper,10,0,44,0,0,14,1,yes
Public Class,net.sourceforge.subsonic.dao.UserDaoTestCase,13,0,186,0,2,26,8,yes
Public Class,net.sourceforge.subsonic.domain.Album,3,0,136,91,0,47,34,no
Public Class,net.sourceforge.subsonic.domain.Artist,2,0,54,78,0,27,14,yes
Public Class,net.sourceforge.subsonic.domain.ArtistBio,1,0,35,71,0,20,7,no
Public Class,net.sourceforge.subsonic.domain.Avatar,2,0,39,75,0,21,8,no
Public Class,net.sourceforge.subsonic.domain.Bookmark,2,0,60,80,0,28,15,no
Public Class,net.sourceforge.subsonic.domain.CacheElement,2,0,32,71,0,20,7,no
Public Class,net.sourceforge.subsonic.domain.CacheElementTestCase,1,0,11,0,1,14,1,no
Public Class,net.sourceforge.subsonic.domain.Genre,1,0,27,57,0,20,7,no
Public Class,net.sourceforge.subsonic.domain.Genres,6,0,21,50,0,17,4,no
Public Class,net.sourceforge.subsonic.domain.InternetRadio,3,0,51,78,0,26,13,no
Public Class,net.sourceforge.subsonic.domain.LicenseInfo,3,0,45,70,0,24,11,no
Public Class,net.sourceforge.subsonic.domain.MediaFile,10,1,341,95,0,92,79,no
Public Class,net.sourceforge.subsonic.domain.MediaFileComparator,5,0,56,50,0,17,4,no
Public Class,net.sourceforge.subsonic.domain.MediaFileComparatorTestCase,4,0,74,0,1,15,2,no
Public Class,net.sourceforge.subsonic.domain.MediaLibraryStatistics,7,0,71,71,0,28,15,no
Public Class,net.sourceforge.subsonic.domain.MusicFolder,6,0,79,81,0,30,17,no
Public Class,net.sourceforge.subsonic.domain.MusicFolderContent,2,0,14,33,0,16,3,no
Public Class,net.sourceforge.subsonic.domain.MusicIndex,4,0,76,66,0,19,6,no
Public Static Abstract Class,net.sourceforge.subsonic.domain.MusicIndex.SortableArtist,3,4,18,50,0,17,4,no
Public Static Class,net.sourceforge.subsonic.domain.MusicIndex.SortableArtistWithArtist,3,0,9,0,1,19,2,no
Public Static Class,net.sourceforge.subsonic.domain.MusicIndex.SortableArtistWithMediaFiles,5,0,11,33,1,20,3,no
Public Class,net.sourceforge.subsonic.domain.Player,7,0,118,91,0,44,31,no
Public Class,net.sourceforge.subsonic.domain.Playlist,3,0,90,86,0,36,23,no
Public Class,net.sourceforge.subsonic.domain.PlayQueue,13,0,226,81,0,42,29,no
Public Class,net.sourceforge.subsonic.domain.PlayQueueTestCase,11,0,231,0,1,26,13,no
Private Static Class,net.sourceforge.subsonic.domain.PlayQueueTestCase.TestMediaFile,4,0,51,81,1,104,12,no
Public Class,net.sourceforge.subsonic.domain.PlayStatus,4,0,26,62,0,19,6,yes
Public Class,net.sourceforge.subsonic.domain.PodcastChannel,4,0,53,75,0,26,13,yes
Public Class,net.sourceforge.subsonic.domain.PodcastEpisode,7,0,114,88,0,39,26,yes
Public Class,net.sourceforge.subsonic.domain.RandomSearchCriteria,3,0,29,66,0,19,6,no
Public Class,net.sourceforge.subsonic.domain.SavedPlayQueue,5,0,61,80,0,28,15,no
Public Class,net.sourceforge.subsonic.domain.SearchCriteria,1,0,22,66,0,19,6,no
Public Class,net.sourceforge.subsonic.domain.SearchResult,5,0,27,80,0,20,7,no
Public Class,net.sourceforge.subsonic.domain.Share,2,0,71,83,0,31,18,no
Public Class,net.sourceforge.subsonic.domain.SortableArtistTestCase,9,0,71,75,1,17,4,no
Private Class,net.sourceforge.subsonic.domain.SortableArtistTestCase.TestSortableArtist,3,0,8,0,1,19,2,no
Public Class,net.sourceforge.subsonic.domain.Theme,1,0,22,60,0,18,5,no
Public Class,net.sourceforge.subsonic.domain.TranscodeSchemeTestCase,1,0,11,0,1,14,1,no
Public Class,net.sourceforge.subsonic.domain.Transcoding,3,0,84,83,0,33,20,no
Public Class,net.sourceforge.subsonic.domain.TransferStatus,11,0,123,87,0,34,21,no
Public Static Class,net.sourceforge.subsonic.domain.TransferStatus.Sample,0,0,14,33,0,16,3,no
Public Static Class,net.sourceforge.subsonic.domain.TransferStatus.SampleHistory,1,0,8,0,1,120,2,no
Public Class,net.sourceforge.subsonic.domain.User,3,0,177,92,0,51,38,yes
Public Class,net.sourceforge.subsonic.domain.UserSettings,7,0,245,95,0,60,47,yes
Public Static Class,net.sourceforge.subsonic.domain.UserSettings.Visibility,0,0,79,85,0,33,20,no
Public Class,net.sourceforge.subsonic.domain.Version,3,0,79,28,0,21,8,no
Public Class,net.sourceforge.subsonic.domain.VersionTestCase,2,0,27,0,1,15,2,no
Public Class,net.sourceforge.subsonic.domain.VideoTranscodingSettings,0,0,29,66,0,19,6,no
Public Class,net.sourceforge.subsonic.filter.BootstrapVerificationFilter,4,0,51,83,0,19,6,yes
Public Class,net.sourceforge.subsonic.filter.ParameterDecodingFilter,5,0,82,100,0,16,3,no
Private Static Class,net.sourceforge.subsonic.filter.ParameterDecodingFilter.DecodingServletRequestWrapper,11,0,68,0,1,19,6,no
Public Class,net.sourceforge.subsonic.filter.RequestEncodingFilter,2,0,15,0,0,16,3,no
Public Class,net.sourceforge.subsonic.filter.ResponseHeaderFilter,3,0,17,0,0,16,3,yes
Public Class,net.sourceforge.subsonic.filter.RESTFilter,8,0,36,80,0,18,5,yes
Public Class,net.sourceforge.subsonic.i18n.SubsonicLocaleResolver,9,0,44,66,0,19,6,no
Public Class,net.sourceforge.subsonic.io.InputStreamReaderThread,7,0,27,12,0,88,2,yes
Public Class,net.sourceforge.subsonic.io.PlayQueueInputStream,20,0,97,65,0,30,7,no
Public Class,net.sourceforge.subsonic.io.RangeOutputStream,5,0,39,50,0,30,5,no
Public Class,net.sourceforge.subsonic.io.RangeOutputStreamTestCase,9,0,63,0,1,18,5,no
Public Class,net.sourceforge.subsonic.io.ShoutCastOutputStream,9,0,91,78,0,27,8,no
Public Class,net.sourceforge.subsonic.io.TranscodeInputStream,12,0,54,48,0,28,5,yes
Public Class,net.sourceforge.subsonic.ldap.SubsonicLdapBindAuthenticator,9,0,63,55,0,17,4,no
Public Class,net.sourceforge.subsonic.ldap.UserDetailsServiceBasedAuthoritiesPopulator,0,0,9,0,0,15,2,no
Public Class,net.sourceforge.subsonic.Logger,19,0,123,90,0,29,16,no
Public Static Class,net.sourceforge.subsonic.Logger.Entry,7,0,41,61,0,20,7,no
Public Class,net.sourceforge.subsonic.MissingTranslations,10,0,24,0,0,15,2,no
Public Class,net.sourceforge.subsonic.security.RESTRequestParameterProcessingFilter,12,0,108,77,0,23,10,yes
Public Class,net.sourceforge.subsonic.service.AdService,0,0,9,25,0,15,2,no
Public Class,net.sourceforge.subsonic.service.AudioScrobblerService,21,0,196,85,0,24,11,yes
Private Static Class,net.sourceforge.subsonic.service.AudioScrobblerService.RegistrationData,2,0,10,0,0,13,0,no
Private Class,net.sourceforge.subsonic.service.AudioScrobblerService.RegistrationThread,8,0,32,0,0,89,3,no
Public Class,net.sourceforge.subsonic.service.jukebox.AudioPlayer,20,0,118,66,0,21,8,yes
Private Class,net.sourceforge.subsonic.service.jukebox.AudioPlayer.AudioDataWriter,8,0,31,0,0,15,2,yes
