Name,CBO,NOC,WMC,RFC,SLOC,LCOM,DIT,change
com.logicaldoc.core.parser.OpenOfficeParser.OpenOfficeContentHandler,5,0,5,36,36,33,0,no
com.logicaldoc.core.parser.OpenOfficeParserTest,12,0,3,22,39,33,1,no
com.logicaldoc.core.parser.ParserFactory,37,0,9,22,207,63,0,no
com.logicaldoc.core.parser.PDFParser,18,0,8,38,155,66,1,no
com.logicaldoc.core.parser.PDFParserTest,22,0,8,27,149,75,1,no
com.logicaldoc.core.parser.PPTParser,8,0,1,31,14,0,1,no
com.logicaldoc.core.parser.PSParser,13,0,3,33,107,66,1,no
com.logicaldoc.core.parser.RTFParser,24,1,2,32,53,50,1,no
com.logicaldoc.core.parser.TXTParser,16,0,2,32,48,0,1,yes
com.logicaldoc.core.parser.TXTParserTest,10,0,1,20,13,0,1,no
com.logicaldoc.core.parser.wordperfect.StringExtractor,12,1,6,19,125,83,0,no
com.logicaldoc.core.parser.wordperfect.WordPerfectParser,9,0,1,31,12,0,1,no
com.logicaldoc.core.parser.wordperfect.WPFilterInputStream,2,0,5,38,229,80,0,no
com.logicaldoc.core.parser.wordperfect.WPStringExtractor,4,0,4,23,57,75,1,no
com.logicaldoc.core.parser.XLSParser,8,0,1,31,14,0,1,no
com.logicaldoc.core.parser.XMLParser,15,0,1,31,31,0,1,no
com.logicaldoc.core.parser.ZABWParser,11,0,2,32,31,0,1,no
com.logicaldoc.core.PersistenceObjectInterceptor,7,0,4,17,27,87,1,no
com.logicaldoc.core.PersistentObject,3,19,13,26,50,89,0,no
com.logicaldoc.core.rss.dao.HibernateFeedMessageDAO,12,0,6,62,49,0,1,no
com.logicaldoc.core.rss.dao.HibernateFeedMessageDAOTest,9,0,8,27,64,0,1,no
com.logicaldoc.core.rss.Feed,5,0,9,22,42,69,0,no
com.logicaldoc.core.rss.FeedMessage,3,0,15,41,54,83,1,no
com.logicaldoc.core.rss.FeedParser,24,0,3,16,128,66,0,no
com.logicaldoc.core.rss.ProductNews,29,0,11,59,129,77,1,no
com.logicaldoc.core.rss.ReadTest,6,0,1,14,13,0,0,no
com.logicaldoc.core.script.DateTool,2,0,2,15,17,0,1,no
com.logicaldoc.core.script.DocTool,8,0,6,19,30,0,0,yes
com.logicaldoc.core.script.FolderTool,8,0,3,16,16,0,0,yes
com.logicaldoc.core.script.I18NTool,2,0,7,89,23,100,0,yes
com.logicaldoc.core.script.ScriptingEngine,13,0,3,16,38,50,0,yes
com.logicaldoc.core.searchengine.FolderSearch,24,0,3,29,91,0,1,no
com.logicaldoc.core.searchengine.FolderSearch.HitMapper,7,0,1,14,24,0,0,no
com.logicaldoc.core.searchengine.FolderSearchOptions,2,0,9,58,34,82,1,no
com.logicaldoc.core.searchengine.FolderSearchTest,11,0,1,20,65,0,1,no
com.logicaldoc.core.searchengine.FulltextSearch,33,0,2,28,235,0,1,no
com.logicaldoc.core.searchengine.FulltextSearch.HitMapper,9,0,2,15,69,0,0,yes
