CBO,NOC,RFC,SLOC ,LCOM,Output
8,0,32,65,61,Gmean1
3,0,14,7,0,Accuracy
5,0,20,10,0,Accuracy
12,0,56,80,66,Balance
1,2,87,8,50,Gmean1
36,1,62,570,73,Accuracy
4,0,89,28,33,Accuracy
34,0,23,407,75,Accuracy
8,0,61,70,50,Accuracy
12,0,51,87,0,Accuracy
21,0,26,152,75,Gmes
23,0,17,233,38,Accuracy
0,0,15,2,0,Accuracy
7,1,17,21,58,Gmean1
13,0,48,50,100,Gmean1
32,0,26,285,77,Gmean1
12,0,17,225,88,Gmean1
7,0,88,34,0,Accuracy
6,0,16,21,0,Accuracy
8,0,18,35,37,Accuracy
14,0,17,124,75,Gmes
6,0,19,8,0,Accuracy
2,0,14,7,0,Accuracy
10,0,15,75,0,Accuracy
9,0,32,99,44,Gmean1
19,0,20,64,78,Accuracy
20,0,31,184,88,Gmes
5,0,16,37,44,Balance
1,0,14,8,0,Accuracy
13,0,14,36,0,Gmean1
1,0,45,3,0,Accuracy
5,0,20,18,0,Accuracy
2,0,20,10,0,Accuracy
4,0,16,48,0,Accuracy
14,0,24,135,70,Balance
9,0,17,36,33,Accuracy
4,0,14,20,0,Accuracy
16,0,751,39,0,Accuracy
23,0,704,217,53,Gmean1
6,0,30,21,50,Accuracy
1,0,59,4,0,Accuracy
1,0,59,4,0,Accuracy
1,0,59,4,0,Accuracy
2,0,60,7,0,Accuracy
1,0,59,4,0,Accuracy
1,0,59,4,0,Accuracy
1,0,59,4,0,Accuracy
5,0,29,25,0,Accuracy
6,0,29,28,0,Accuracy
4,0,19,20,0,Accuracy
3,0,19,20,0,Accuracy
13,0,16,45,33,Accuracy
6,0,32,23,25,Accuracy
33,0,29,393,86,Accuracy
7,0,18,64,42,Accuracy
1,0,49,6,100,Gmean1
8,0,23,47,72,Accuracy
6,0,110,16,33,Accuracy
2,0,17,14,0,Accuracy
16,2,17,73,50,Gmean1
5,0,20,36,64,Gmean1
8,0,48,60,100,Accuracy
9,0,32,79,53,Gmes
9,0,24,99,40,Accuracy
10,0,48,85,0,Accuracy
6,11,19,50,41,Gmes
16,0,51,180,50,Accuracy
3,0,19,35,0,Accuracy
10,0,88,55,0,Accuracy
2,0,35,8,0,Accuracy
24,1,55,186,73,Accuracy
26,0,19,114,0,Accuracy
0,0,15,2,0,Accuracy
6,0,58,13,100,Accuracy
14,0,19,131,56,Accuracy
17,0,48,60,100,Gmes
5,0,20,11,0,Accuracy
5,0,20,11,0,Accuracy
31,0,20,161,66,Accuracy
6,0,18,49,0,Accuracy
11,0,16,45,33,Accuracy
49,0,35,667,86,Accuracy
