CBO,SLOC,DIT,Output
0,22,1,Balance
0,22,1,Balance
14,89,0,Balance
0,22,1,Balance
0,22,1,Balance
10,432,1,Balance
4,48,0,Balance
11,139,0,Gmean2
1,11,2,Balance
38,163,0,Balance
1,39,0,Balance
9,145,0,Balance
5,128,0,Accuracy
1,20,0,Balance
6,109,1,Balance
2,5,0,Balance
1,31,0,Balance
9,42,0,Balance
11,250,0,Balance
2,38,0,Balance
31,1350,0,Balance
0,10,0,Balance
3,44,0,Balance
1,12,1,Balance
6,121,0,Accuracy
2,71,0,Balance
3,10,1,Balance
43,656,0,Balance
9,88,0,Gmean2
3,35,2,Balance
15,105,2,Accuracy
1,8,2,Balance
2,7,1,Balance
5,222,0,Accuracy
9,52,0,Balance
14,369,0,Balance
5,119,0,Accuracy
1,19,0,Balance
6,87,0,Accuracy
6,56,0,Balance
1,13,0,Balance
5,26,1,Balance
9,30,0,Gmean2
9,67,0,Balance
3,8,0,Balance
16,125,0,Precision
2,28,0,Balance
10,38,0,Gmean2
1,4,0,Balance
3,18,0,Balance
3,7,0,Balance
1,8,0,Balance
16,67,1,Balance
13,107,1,Balance
2,12,2,Balance
3,24,1,Balance
10,290,0,Balance
14,175,0,Balance
1,27,0,Balance
1,13,0,Balance
0,5,1,Balance
13,172,0,Balance
7,14,1,Balance
21,261,1,Accuracy
2,13,0,Balance
2,84,0,Balance
2,16,1,Balance
17,181,0,Balance
4,43,0,Accuracy
1,5,0,Balance
6,27,1,Balance
10,45,0,Balance
7,42,0,Precision
2,23,0,Balance
4,32,0,Balance
33,391,2,Balance
17,110,0,Balance
1,8,0,Balance
3,23,0,Accuracy
0,22,1,Balance
0,22,1,Balance
5,86,0,Gmean2
0,22,1,Balance
0,22,1,Balance
5,19,1,Balance
8,42,0,Precision
12,346,0,Balance
11,47,1,Balance
10,79,0,Balance
0,22,1,Balance
0,22,1,Balance
7,151,2,Accuracy
0,22,1,Balance
36,139,0,Balance
5,15,0,Gmean2
1,22,1,Balance
5,54,1,Balance
